DBA_NAME,CLS,PBC,MAIL_ADDR_LINE1,CITY,STATE,MAIL_ZIP
CLUB KRISTI,8,3079,625 LARKIN ST #401,SAN FRANCISCO,CA,94109-7957
SUPERIOR PALACE SEAFOOD REST,8,3079,3546 BALBOA ST,SAN FRANCISCO,CA,94121-2602
NULITE KITCHEN,8,3079,3319 MISSION ST,SAN FRANCISCO,CA,94110-5008
MUTINY CAFE & STUDIO,8,3079,1724 ORTEGA ST,SAN FRANCISCO,CA,94112
OAKSIDE CAFE,8,3079,1195 OAK ST,SAN FRANCISCO,CA,94117
NEW FORTUNE DIM SUM,8,3079,811 STOCKTON STREET,SAN FRANCISCO,CA,94108-2120
CHINA WOK CHINESE CUISINE,8,3079,2520 19TH AVE,SAN FRANCISCO,CA,94116
AMITIS CAFE,8,3079,953 MARTIN TRAIL,DALY CITY,CA,94014-1476
NEW COUNTRY SKY,8,3079,3321 STEINER ST,SAN FRANCISCO,CA,94123-2706
HUNAN CHEF RESTAURANT,8,3079,525 CORTLAND AVE,SAN FRANCISCO,CA,94110-5611
MAIS VIETNAMESE RESTAURANT,8,3079,316 CLEMENT ST,SAN FRANCISCO,CA,94118-2316
BASHFUL BULL,8,3079,1222 NORIEGA ST,SAN FRANCISCO,CA,94122-4408
BASHFUL BULL TOO,8,3079,1222 NORIEGA ST,SAN FRANCISCO,CA,94122-4408
37 DEGREE DESSERT CAFE,8,3079,1155 TARAVAL ST,SAN FRANCISCO,CA,94116
GOLDEN WOK,8,3079,3214 STUART ST,OAKLAND,CA,94602-1040
ALL YOU KNEAD CAFE,8,3079,1710 SOUTHGATE DR,PETALUMA,CA,94954-3000
OLIVIA'S BRUNCH & FINE DINING,8,3079,1917 MISSION ST #6,SAN FRANCISCO,CA,94103-5916
CINQUE TERRE CAFE,8,3079,1477 VAN NESS AVE,SAN FRANCISCO,CA,94109
JUSTA BITE,8,3079,720 GREAT HIGHWAY #3,SAN FRANCISCO,CA,94121-3267
SUPERSTAR REST & FAST FOOD       4,8,3079,1151 TARAVAL STREET,SAN FRANCISCO,CA,94116-2441
CHIN,8,3079,PO BOX 27586,SAN FRANCISCO,CA,94127-0586
AKIKOS SUSHI BAR,8,3079,PO BOX 27586,SAN FRANCISCO,CA,94127-0586
SUGARCANE SF,8,3079,6903 GEARY BLVD,SAN FRANCISCO,CA,94121-1620
B & J 1/4LB BURGER,8,3079,6202 3RD ST,SAN FRANCISCO,CA,94124-3110
TEDS SPORTS BAR & GRILL,8,3079,312 HARRIET ST,SAN FRANCISCO,CA,94103-4716
IRMA'S PAMPANGA RESTAURANT,8,3079,2901 16TH ST,SAN FRANCISCO,CA,94103-3612
SEOUL GARDEN RESTAURANT,8,3079,22 PEACE PLZ #270,SAN FRANCISCO,CA,94115-3611
THE SANDWICH SHOP,8,3079,635 19TH ST,SAN FRANCISCO,CA,94107-3040
ASA SUSHI,8,3079,2365 CHESTNUT ST,SAN FRANCISCO,CA,94123-2609
THE OUTSIDER,8,3079,894 GEARY BLVD,SAN FRANCISCO,CA,94109-7228
GOLDEN COFFEE,8,3079,539 VIENNA ST,SAN FRANCISCO,CA,94112-2817
GOURMET DIM SUM CAFE,8,3079,651 CLEMENT ST,SAN FRANCISCO,CA,94118-2206
TOKYO EXPRESS TERIYAKI HSE III,8,3079,660 SACRAMENTO ST,SAN FRANCISCO,CA,94111-2540
ZAZANG RESTAURANT,8,3079,2340 GEARY BLVD,SAN FRANCISCO,CA,94115-3305
PETITE DELI,8,3079,752 COLUMBUS AV,SAN FRANCISCO,CA,94133-2731
CHESTNUT DINER,8,3079,1514 25TH AVE,SAN FRANCISCO,CA,94122-3320
TOKYO EXPRESS SPEAR,8,3079,160 SPEAR STREET SUITE 1D,SAN FRANCISCO,CA,94105-1552
CAFE INSALATA,8,3079,209 JACKSON ST,SAN FRANCISCO,CA,94111-1805
MISSION PIZZA,8,3079,2074 MISSION ST,SAN FRANCISCO,CA,94110-1218
MARCO POLO ITALIAN ICE CREAM,8,3079,1447 TARAVAL ST,SAN FRANCISCO,CA,94116-2347
LITTLE GRIDDLE,8,3079,761 THIRD ST,SAN FRANCISCO,CA,94107
CAFICO CAFE & BAKERY,8,3079,1475 MARKET ST,SAN FRANCISCO,CA,94103-1308
YUMMY BBQ KITCHEN,8,3079,683 BROADWAY ST,SAN FRANCISCO,CA,94133-4405
SO,8,3079,1010 BRYANT ST,SAN FRANCISCO,CA,94103
LITTLE WOK,8,3079,2675 OCEAN AVE,SAN FRANCISCO,CA,94132
EIGHTEEN C,8,3079,3406 18TH ST,SAN FRANCISCO,CA,94110-1725
YAMO,8,3079,3406 18TH ST,SAN FRANCISCO,CA,94110-1725
PLAYGROUND,8,3079,1619 LAGUNA ST #A,SAN FRANCISCO,CA,94115-3213
VAN NESS KENO ICE CREAM,8,3079,26 VAN NESS AVE,SAN FRANCISCO,CA,94102-6013
